EyeColor,height.in,coins,keys,creditCards,pulse,exercise,creditHours,employed,hrsWorked,hoursTV,smoke,dominantHand,shoeSize,classRank,yearBorn,CommuteTime,FavTV
Brown,67,50,5,13,77,No,15,No,0,30,Yes,Right,8,Junior,"1,989",30,American Ninja warriors
Brown,69.6,0,4,4,65,Yes,15,Yes,40,5,No,Left,9.5,Senior,"1,995",30,Tom and Jerry
Hazel,72,0,5,3,66,No,15,Yes,16,21,No,Right,11,Junior,"1,984",30,Brooklyn Nine-Nine
Black,64,0.8,4,1,88,No,15,No,0,0,No,Right,8.5,Junior,"2,000",35,No favorite
Brown,64,1.83,5,1,80,No,15,No,0,8,No,Right,7.5,Senior,"1,991",10,Black-ish
Blue,73,305,5,2,62,No,15,No,0,0,No,Right,11,Senior,"1,998",20,Spongebob
Brown,66,1,3,0,80,Yes,15,No,0,3,No,Right,9.5,Senior,"1,996",25,We bare bears
Brown,56,0,2,3,79,Yes,15,No,0,20,No,Right,7.5,Senior,"1,997",50,bojack horseman
Hazel,65,0.56,86,1,80,Yes,15,No,0,7,No,Right,10.5,Senior,"1,995",30,Westworld
Blue,72,13,2,2,60,No,15,Yes,25,8,No,Right,12,Junior,1996,75,Steven Univer
Hazel,64,0,0,0,65,Yes,12,No,0,0,No,Right,9,Senior,"1,892",90,The Magicians
Green,69,59,3,1,87,Yes,8,Yes,20,,No,Right,9.5,Junior,"1,989",45,idk
Brown,154,7,2,2,20,No,15,Yes,12,2,No,Right,5,Senior,"1,990",35,Power  Gray's Anatomy 
Brown,68,0,3,0,64,Yes,15,Yes,10,8,No,Right,8,Senior,"1,993",15,Seinfeld
Brown,69,0.14,3,0,78,No,120,No,0,2,No,Right,10,Senior,"1,999",5,I don't have one
Brown,70,3,2,73,6,Yes,15,Yes,22,7,No,Right,10,Senior,"1,996",50,"Friends, That 70's Show."
Black,69.6,2,3,132,60,No,20,Yes,18,4,No,Right,10,Senior,"1,994",30,Friends
Green,72,0,3,1,78,No,15,Yes,20,15,No,Right,11.5,Senior,"1,992",10,Star Trek: Deep Space Nine
Brown,62.4,2,4,1,80,Yes,15,No,0,10,No,Right,6,Senior,"1,997",30,Rick and Morty
Hazel,74,0,10,1,108,No,15,Yes,18.5,5,No,Right,11,Junior,"1,999",5,Peaky Blinders
Black,66.9,0.76,1,3,72,No,15,No,0,0,No,Right,9,Senior,"1,997",20,I don't watch shows
"Other, or decline to respond",60,79,14,4,19,Yes,17,Yes,5,0,Yes,Left,6.5,Senior,"1,996",12,Big Bang Theory
Brown,62,8,4,1,73,Yes,15,Yes,20,7,Yes,Right,9,Junior,"2,000",15,Always Sunny in Philadelphia
Brown,64,0,4,1,77,Yes,15,Yes,40,5,No,Right,8,Senior,"1,997",5,Big Brother
Blue,70,0,3,1,88,No,15,Yes,20,5,Yes,Right,11.5,Senior,"1,983",30,Mr. Robot
Black,66.93,20,1,1,75,No,80,No,0,5,No,Right,7.5,Senior,"1,999",90,Ellen Talk Show
Brown,70,0,4,2,72,Yes,12,No,0,0,No,Right,13,Senior,"1,991",7,Naruto
Blue,69,0,2,1,65,No,15,Yes,8,4,No,Left,9,Senior,"1,979",120,Lost
Brown,72,0,3,3,82,Yes,15,Yes,20,6,No,Right,12,Senior,"1,999",30,Mad Men
